,name,mjd,telescope
133,asassn-15oi,57272.570850566,XRT
134,asassn-15oi,57276.1252893137,XRT
135,asassn-15oi,57280.7159042107,XRT
136,asassn-15oi,57285.6438193391,XRT
137,asassn-15oi,57291.48951389,XRT
138,asassn-15oi,57294.6168845336,XRT
139,asassn-15oi,57297.0478653426,XRT
140,asassn-15oi,57300.2675803333,XRT
141,asassn-15oi,57303.6565603067,XRT
142,asassn-15oi,57306.5193706863,XRT
143,asassn-15oi,57309.4784235243,XRT
144,asassn-15oi,57312.1965755637,XRT
145,asassn-15oi,57318.7670001111,XRT
146,asassn-15oi,57324.0822981319,XRT
147,asassn-15oi,57328.1419182199,XRT
148,asassn-15oi,57330.6590224815,XRT
149,asassn-15oi,57333.4856968646,XRT
150,asassn-15oi,57336.404146485,XRT
151,asassn-15oi,57339.4336192072,XRT
152,asassn-15oi,57342.1017980752,XRT
153,asassn-15oi,57345.7884951644,XRT
154,asassn-15oi,57348.4135905081,XRT
155,asassn-15oi,57460.2951747465,XRT
156,asassn-15oi,57468.7989276586,XRT
157,asassn-15oi,57476.6471669549,XRT
158,asassn-15oi,57493.4280993657,XRT
159,asassn-15oi,57501.2702705347,XRT
160,asassn-15oi,57506.291547331,XRT
161,asassn-15oi,57515.1270941852,XRT
162,asassn-15oi,57521.445511088,XRT
163,asassn-15oi,57529.1207363067,XRT
164,asassn-15oi,57533.5080564792,XRT
165,asassn-15oi,57558.8876870451,XRT
166,asassn-15oi,57572.0883145081,XRT
167,asassn-15oi,57580.5263877778,XRT
168,asassn-15oi,57586.8059173171,XRT
169,asassn-15oi,57594.0081275162,XRT
170,asassn-15oi,57600.5289971458,XRT
171,asassn-15oi,57607.6716773912,XRT
172,asassn-15oi,57610.5903195694,XRT
173,asassn-15oi,57611.1825205301,XRT
174,asassn-15oi,57833.6785116285,XRT
175,asassn-15oi,57845.2051053542,XRT
176,asassn-15oi,58642.9055124479,XRT
177,asassn-15oi,58649.6096080081,XRT
178,asassn-15oi,58656.791743765,XRT
179,asassn-15oi,58663.7201935278,XRT
180,asassn-15oi,58670.6565863322,XRT
181,asassn-15oi,58677.1648360417,XRT
182,asassn-15oi,58684.8190312025,XRT
183,asassn-15oi,58691.2774062234,XRT
184,asassn-15oi,58695.3323076817,XRT
185,asassn-15oi,58698.5579812049,XRT
186,asassn-15oi,58705.5975394329,XRT
187,asassn-15oi,59012.1930071215,XRT
188,asassn-15oi,59020.2930970752,XRT
189,asassn-15oi,59021.649723831,XRT
190,asassn-15oi,59649.9312636644,XRT
191,at2018zr,58205.0978850382,XRT
192,at2018zr,58238.1291588762,XRT
193,at2018zr,58426.1840920845,XRT
194,at2018zr,58595.641577772,XRT
195,at2018zr,58832.6887261667,XRT
196,at2018zr,59592.6212818808,XRT
197,at2019azh,58544.7954188171,XRT
198,at2019azh,58553.4559880914,XRT
199,at2019azh,58556.4382016285,XRT
200,at2019azh,58562.9532349479,XRT
201,at2019azh,58565.9383583808,XRT
202,at2019azh,58568.297952537,XRT
203,at2019azh,58568.3454297593,XRT
204,at2019azh,58568.4068815301,XRT
205,at2019azh,58574.8764948252,XRT
206,at2019azh,58577.231089132,XRT
207,at2019azh,58580.6580940752,XRT
208,at2019azh,58583.3138150937,XRT
209,at2019azh,58589.6231445926,XRT
210,at2019azh,58592.0791493623,XRT
211,at2019azh,58595.5607846863,XRT
212,at2019azh,58598.3188270139,XRT
213,at2019azh,58600.3352822107,XRT
214,at2019azh,58606.2222879757,XRT
215,at2019azh,58609.503247044,XRT
216,at2019azh,58611.6302472593,XRT
217,at2019azh,58618.4009534167,XRT
218,at2019azh,58621.5853294468,XRT
219,at2019azh,58624.6385978322,XRT
220,at2019azh,58627.1648077512,XRT
221,at2019azh,58630.3886571563,XRT
222,at2019azh,58634.2386451528,XRT
223,at2019azh,58638.3688124097,XRT
224,at2019azh,58767.9389077245,XRT
225,at2019azh,58773.9231213785,XRT
226,at2019azh,58779.896326456,XRT
227,at2019azh,58782.779831228,XRT
228,at2019azh,58787.5683406516,XRT
229,at2019azh,58790.5905631898,XRT
230,at2019azh,58794.6743584062,XRT
231,at2019azh,58796.6603054306,XRT
232,at2019azh,58798.7657940625,XRT
233,at2019azh,58799.7226216551,XRT
234,at2019azh,58802.7380960729,XRT
235,at2019azh,58810.5051566979,XRT
236,at2019azh,58818.4967775231,XRT
237,at2019azh,58822.6885096308,XRT
238,at2019azh,58826.8617192222,XRT
239,at2019azh,58830.1501843056,XRT
240,at2019azh,58840.678320735,XRT
241,at2019azh,58842.6486876088,XRT
242,at2019azh,58847.0222539699,XRT
243,at2019azh,58850.5354520625,XRT
244,at2019azh,58906.6491410648,XRT
245,at2019azh,58911.8908406134,XRT
246,at2019azh,58962.7167225544,XRT
247,at2019azh,58967.3330360799,XRT
248,at2019azh,58972.1764813681,XRT
249,at2019azh,58977.4179257662,XRT
250,at2019azh,58982.5324393067,XRT
251,at2019azh,59301.4589039722,XRT
252,at2019azh,59309.4941570405,XRT
253,at2019azh,59319.446881515,XRT
254,at2019azh,59326.9443349421,XRT
255,at2019azh,59331.5289899537,XRT
256,at2019azh,59628.6681614572,XRT
257,at2019azh,59629.5294846979,XRT
258,at2019azh,59633.5690945336,XRT
259,at2019teq,58821.5284475741,XRT
260,at2019teq,58832.6764078611,XRT
261,at2019teq,58835.6956479109,XRT
262,at2019teq,58838.4890683067,XRT
263,at2019teq,58841.6445329039,XRT
264,at2019teq,58844.7608606262,XRT
265,at2019teq,58847.7441788819,XRT
266,at2019teq,58905.3525136412,XRT
267,at2019teq,58912.5473122153,XRT
268,at2019teq,58962.7481873461,XRT
269,at2019teq,58969.7612213241,XRT
270,at2019teq,58976.6256113565,XRT
271,at2019vcb,58909.7751638021,XRT
272,at2019vcb,58962.9255035394,XRT
273,at2020ddv,58961.3234401181,XRT
274,at2020ddv,58968.8266886736,XRT
275,at2020ddv,58975.6041208472,XRT
276,at2020ddv,58982.3419270081,XRT
277,at2020ddv,58989.5791787569,XRT
278,at2020ksf,58977.0,eRO
279,at2020ksf,59162.0,eRO
280,at2021yzv,59549.0,XRT
